"","Model 1","Model 2","Model 3","Model 4","Model 5","Model 6","Model 7","Model 8","Model 9","Model 10","Model 11","Model 12","Model 13","Model 14","Model 15","Model 16","Model 17","Model 18","Model 19","Model 20","Model 21","Model 22","Model 23","Model 24","Model 25","Model 26","Model 27","Model 28","Model 29","Model 30","Model 31","Model 32","Model 33","Model 34","Model 35","Model 36","Model 37","Model 38","Model 39","Model 40","mean","SD"
"X.Training.samples",179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,0
"Regularized.training.gain",0.8788,1.0026,0.9588,0.7034,0.8977,0.961,0.8475,0.7643,0.7941,0.7483,0.8773,0.8023,0.8643,0.8845,0.7715,1.0625,0.904,0.9725,0.768,0.9462,0.9013,0.891,0.9169,0.9563,0.9172,0.7179,0.864,0.9937,0.9102,0.8049,0.3994,0.8765,0.9945,0.9172,0.9832,0.9001,0.8892,0.99,0.8423,0.9071,0.8745625,0.089175557189176
"Unregularized.training.gain",0.9378,1.0356,0.97,0.9557,0.9177,0.9722,0.9622,0.9356,0.9363,0.9266,0.8868,0.9975,0.8855,0.9052,0.9507,1.0739,0.9149,0.9835,0.9435,0.9776,0.9336,0.9016,0.9286,0.9682,0.9385,0.9153,0.9118,1.0806,0.9203,0.9757,0.7483,1.0163,1.0484,1.006,1.0326,0.9104,0.9842,1.0014,0.9109,0.9946,0.9549025,0.0477773668341946
"Iterations",500,500,500,320,440,500,340,500,320,500,500,320,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,440,500,500,240,500,380,460,380,500,500,500,500,500,466,60.9088257764937
"Training.AUC",0.8506,0.8598,0.8512,0.8366,0.8473,0.8505,0.8496,0.8452,0.8384,0.8371,0.8402,0.8437,0.8435,0.8477,0.8425,0.8614,0.8477,0.8544,0.8397,0.8456,0.8494,0.8455,0.8477,0.8523,0.8487,0.8348,0.8496,0.8567,0.8501,0.8476,0.8155,0.8455,0.8583,0.8515,0.8605,0.8451,0.8505,0.8545,0.8473,0.8539,0.8474425,0.00644114735977566
"X.Background.points",1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0
"DEMStError.contribution",6.5469,5.6737,6.5945,11.9524,9.7981,9.1695,4.9995,7.4606,8.8589,6.0265,9.7006,10.5608,10.1289,10.7631,10.2532,8.5513,5.3341,7.1081,6.5252,6.9531,4.889,6.8872,5.9889,9.0515,8.9971,6.1595,6.9646,6.8519,6.5473,7.7765,5.1233,8.464,8.7328,8.9483,7.1376,7.6086,6.1977,3.4124,5.2559,7.3332,7.5321575,1.90478213182312
"SoilClassification.contribution",16.0832,13.2672,16.5174,10.4525,18.8185,20.7281,14.2347,22.744,14.1686,25.3265,18.7553,9.6985,11.6392,16.6022,24.3765,15.0077,11.9922,15.3601,20.3343,14.0591,16.9694,15.2778,18.4513,12.3395,13.8742,24.1365,21.859,12.4381,14.7014,28.8794,2.3974,10.0659,10.8496,15.1325,16.7091,13.4404,14.0335,19.8661,14.3698,14.4808,16.0109375,4.77986600877944
"Vegetation.contribution",49.6753,48.5357,49.3613,52.519,44.8865,42.0778,49.4857,43.8489,50.9355,41.4523,47.4466,54.6098,51.22,46.5817,41.9272,49.5642,53.894,50.6691,42.7798,53.6025,50.1382,47.903,49.9223,54.8293,52.4308,41.4836,39.3076,49.2655,52.1194,38.9698,74.5206,50.3069,51.1929,48.5952,43.3239,55.6863,49.1013,49.2892,51.9171,49.2769,49.1163175,4.66047691102605
"WaterBallanceRatio.contribution",27.6947,32.5235,27.5269,25.0762,26.497,28.0246,31.2802,25.9464,26.037,27.1948,24.0974,25.1309,27.0119,26.053,23.4432,26.8768,28.7797,26.8626,30.3607,25.3852,28.0034,29.932,25.6374,23.7797,24.698,28.2204,31.8688,31.4445,26.6319,24.3743,17.9587,31.1633,29.2247,27.3241,32.8294,23.2647,30.6674,27.4323,28.4573,28.9091,27.3406025,2.47040066602123
"DEMStError.permutation.importance",9.5753,7.78,11.619,12.5629,10.3072,14.2995,11.7594,4.0576,11.3528,5.8297,10.2582,6.4964,10.5937,13.46,8.0149,11.8632,9.4276,13.5106,6.2595,10.327,8.6727,14.6037,8.6979,10.7697,14.7192,4.2691,11.2387,12.108,8.1731,3.9424,6.2364,13.8435,12.5907,10.3917,5.8897,11.0416,11.2856,10.1199,7.0278,11.3411,9.907925,3.08112576328773
"SoilClassification.permutation.importance",36.3248,30.8506,27.0506,18.5954,34.3155,35.1398,27.2783,41.781,28.7756,42.8627,32.4393,22.816,25.8199,28.6053,46.3156,31.4711,29.2082,25.8059,34.7152,25.5864,33.5196,27.2837,33.2255,26.2564,28.9114,40.2887,37.4302,22.7495,27.9775,44.2871,2.7901,28.3577,20.9033,25.0605,24.3103,22.7477,27.6038,24.2969,35.3429,26.9827,29.6520675,6.78326074781352
"Vegetation.permutation.importance",15.3193,24.3819,29.68,30.0155,20.184,20.4455,20.4961,26.9772,32.6592,25.598,22.8723,41.322,28.4175,27.5713,26.4742,24.4852,20.4687,25.8581,31.7132,31.1162,23.8308,24.1492,25.3876,28.365,27.2697,27.8165,12.757,35.5604,26.9691,25.9056,70.9414,27.9073,36.3068,30.8709,28.0302,39.694,18.7066,22.3423,21.467,23.584,27.59792,5.62565444479088
"WaterBallanceRatio.permutation.importance",38.7806,36.9874,31.6504,38.8261,35.1933,30.1152,40.4662,27.1842,27.2124,25.7096,34.4302,29.3656,35.169,30.3635,19.1953,32.1805,40.8955,34.8254,27.312,32.9704,33.977,33.9634,32.689,34.6089,29.0998,27.6257,38.5741,29.5821,36.8803,25.8648,20.0322,29.8915,30.1991,33.677,41.7697,26.5167,42.404,43.2409,36.1623,38.0922,32.8420875,5.04059442472673
"Entropy",6.0068,5.8879,5.9616,6.2024,6.0029,5.9629,6.0605,6.1286,6.1063,6.1569,6.0087,6.1015,6.0233,6.0032,6.1408,5.8385,5.9744,5.9119,6.1535,5.937,5.9873,5.9932,5.9544,5.9252,5.9725,6.197,6.039,5.9101,5.9799,6.1178,6.5078,6.0413,5.9182,5.9826,5.9228,5.9964,5.9974,5.8962,6.0497,5.9818,6.023505,0.0951876525364624
"Prevalence..average.probability.of.presence.over.background.sites.",0.236,0.2089,0.2269,0.2925,0.2358,0.2266,0.2498,0.2658,0.2619,0.2746,0.2401,0.261,0.2412,0.2366,0.2689,0.2005,0.2321,0.2154,0.2731,0.2213,0.2318,0.2344,0.2247,0.2181,0.2289,0.2871,0.2441,0.2124,0.2308,0.2623,0.4014,0.2464,0.2137,0.2319,0.214,0.2332,0.2339,0.213,0.2477,0.2303,0.2427275,0.0234595136694944
"Fixed.cumulative.value.1.cumulative.threshold",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
"Fixed.cumulative.value.1.Cloglog.threshold",0.0434,0.0322,0.0474,0.0646,0.0423,0.0437,0.0493,0.0501,0.051,0.0547,0.0445,0.0531,0.0429,0.0502,0.057,0.0382,0.0481,0.0362,0.057,0.0352,0.0382,0.0451,0.0437,0.0449,0.0397,0.0593,0.0436,0.0356,0.0454,0.0525,0.1403,0.0435,0.0403,0.039,0.0365,0.0494,0.041,0.039,0.0417,0.0375,0.0474325,0.0077255279178316
"Fixed.cumulative.value.1.area",0.783,0.732,0.727,0.875,0.738,0.73,0.815,0.835,0.852,0.848,0.757,0.861,0.755,0.743,0.864,0.706,0.722,0.698,0.845,0.735,0.766,0.753,0.73,0.734,0.725,0.84,0.78,0.783,0.716,0.854,0.94,0.813,0.752,0.805,0.76,0.746,0.776,0.724,0.784,0.781,0.779575,0.0562782087633322
"Fixed.cumulative.value.1.training.omission",0.0223,0.0223,0.0279,0.0112,0.0223,0.0279,0.0112,0.0112,0.0112,0.0112,0.0223,0.0112,0.0223,0.0279,0.0112,0.0223,0.0223,0.0223,0.0112,0.0223,0.0223,0.0223,0.0223,0.0223,0.0223,0.0112,0.0168,0.0223,0.0223,0.0112,0.0112,0.0223,0.0168,0.0223,0.0168,0.0223,0.0223,0.0223,0.0223,0.0223,0.019255,0.00594542323735362
"Fixed.cumulative.value.5.cumulative.threshold",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0
"Fixed.cumulative.value.5.Cloglog.threshold",0.1094,0.1026,0.1186,0.127,0.1206,0.1119,0.1143,0.122,0.114,0.1168,0.1161,0.1179,0.1207,0.1181,0.1173,0.1027,0.125,0.1157,0.1221,0.1032,0.1087,0.116,0.1169,0.1098,0.113,0.1304,0.1164,0.0905,0.129,0.1135,0.2197,0.1064,0.1093,0.099,0.1075,0.1136,0.1059,0.1052,0.1269,0.099,0.1163175,0.00839686312528837
"Fixed.cumulative.value.5.area",0.563,0.517,0.545,0.682,0.55,0.534,0.613,0.629,0.641,0.637,0.561,0.654,0.556,0.551,0.66,0.508,0.541,0.499,0.646,0.513,0.553,0.554,0.538,0.539,0.527,0.638,0.566,0.556,0.538,0.642,0.809,0.586,0.545,0.581,0.548,0.56,0.561,0.518,0.569,0.552,0.577,0.0531072326610937
"Fixed.cumulative.value.5.training.omission",0.0503,0.067,0.0726,0.0503,0.067,0.0726,0.0503,0.0503,0.0559,0.0503,0.067,0.0615,0.0615,0.067,0.0447,0.0838,0.0559,0.0726,0.0503,0.0782,0.067,0.067,0.067,0.0615,0.0726,0.0559,0.0559,0.0559,0.067,0.0391,0.0503,0.067,0.0726,0.0615,0.0726,0.067,0.0726,0.0726,0.0503,0.0615,0.06215,0.0105091530986362
"Fixed.cumulative.value.10.cumulative.threshold",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0
"Fixed.cumulative.value.10.Cloglog.threshold",0.1701,0.1707,0.1777,0.187,0.1866,0.1742,0.1691,0.1772,0.1695,0.1728,0.1798,0.1718,0.1857,0.1896,0.1633,0.1623,0.1858,0.1774,0.1775,0.175,0.1776,0.1779,0.1802,0.1685,0.1801,0.1882,0.1851,0.1444,0.1897,0.1654,0.2742,0.167,0.1604,0.1634,0.1649,0.1741,0.1732,0.1679,0.1947,0.171,0.177275,0.00981276203984254
"Fixed.cumulative.value.10.area",0.427,0.391,0.42,0.536,0.428,0.407,0.472,0.49,0.49,0.482,0.434,0.512,0.431,0.427,0.507,0.386,0.423,0.382,0.501,0.385,0.424,0.428,0.416,0.414,0.4,0.493,0.436,0.403,0.423,0.491,0.691,0.44,0.418,0.438,0.419,0.43,0.425,0.389,0.449,0.414,0.4443,0.0434308672476737
"Fixed.cumulative.value.10.training.omission",0.0894,0.1061,0.095,0.0838,0.0894,0.095,0.0838,0.0726,0.095,0.0838,0.095,0.0894,0.0894,0.0894,0.0894,0.1061,0.0894,0.1006,0.0838,0.1173,0.0894,0.0782,0.1006,0.0894,0.0894,0.0894,0.0782,0.095,0.095,0.0782,0.0894,0.0894,0.095,0.0782,0.095,0.095,0.095,0.095,0.095,0.0782,0.0907925,0.00927217131633903
"Minimum.training.presence.cumulative.threshold",0.0359,0.0405,0.0229,0.0391,0.0368,0.0143,0.6424,0.2321,0.2736,0.1218,0.0753,0.133,0.0218,0.0094,0.0687,0.0369,0.0527,0.0556,0.0411,0.071,0.065,0.0532,0.0541,0.0339,0.0308,0.0625,0.2027,0.4895,0.0463,0.2016,0.2119,0.0265,0.0487,0.0626,0.1312,0.0649,0.0102,0.0661,0.034,0.0296,0.098755,0.142589616305539
"Minimum.training.presence.Cloglog.threshold",0.0059,0.0046,0.0025,0.0156,0.0048,0.0024,0.0361,0.026,0.0278,0.022,0.0087,0.0223,0.0036,0.0022,0.019,0.0031,0.0052,0.0054,0.0123,0.0061,0.0073,0.0055,0.0049,0.0033,0.003,0.0189,0.0161,0.0226,0.0039,0.0277,0.0914,0.0072,0.0058,0.0098,0.0112,0.0065,0.004,0.0055,0.0067,0.0056,0.0125625,0.00975255698861032
"Minimum.training.presence.area",0.962,0.933,0.937,0.977,0.923,0.962,0.85,0.926,0.933,0.954,0.899,0.958,0.959,0.972,0.97,0.905,0.888,0.886,0.962,0.915,0.932,0.922,0.902,0.92,0.933,0.957,0.888,0.845,0.882,0.94,0.982,0.97,0.937,0.953,0.899,0.906,0.979,0.893,0.962,0.966,0.930975,0.0350286582179752
"Minimum.training.presence.training.omission",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X10.percentile.training.presence.cumulative.threshold",11.9719,9.7638,10.6561,11.3487,10.533,11.8601,13.4109,17.1896,10.2625,13.3388,10.1668,10.7028,12.0547,10.7853,13.7566,9.7149,12.1701,9.8481,14.5185,8.871,11.2295,13.8138,9.6672,10.4955,11.4807,12.754,14.0574,10.47,13.0586,14.3705,12.5467,11.575,10.0913,13.6102,11.8016,10.066,10.8652,11.7444,12.4427,13.4761,11.813515,1.88849013121016
"X10.percentile.training.presence.Cloglog.threshold",0.1972,0.167,0.1823,0.2037,0.1912,0.1976,0.2095,0.2409,0.1728,0.2029,0.1823,0.1779,0.2147,0.1998,0.1949,0.1599,0.2086,0.1756,0.2147,0.161,0.1924,0.2247,0.1765,0.1745,0.2015,0.2237,0.2271,0.1476,0.2128,0.2041,0.2887,0.1884,0.1624,0.206,0.1785,0.1754,0.1872,0.1892,0.2185,0.2176,0.1962825,0.0222152127642505
"X10.percentile.training.presence.area",0.388,0.396,0.407,0.505,0.418,0.372,0.402,0.345,0.484,0.406,0.43,0.495,0.393,0.413,0.417,0.392,0.385,0.385,0.403,0.408,0.4,0.36,0.422,0.404,0.372,0.435,0.362,0.392,0.369,0.394,0.639,0.406,0.416,0.367,0.383,0.428,0.408,0.357,0.404,0.35,0.4078,0.0368152267348747
"X10.percentile.training.presence.training.omission",0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0
"Equal.training.sensitivity.and.specificity.cumulative.threshold",27.298,25.1808,25.7019,31.0166,26.5833,25.4465,28.394,26.8124,28.7629,26.3277,26.5306,29.6587,26.419,27.7467,27.3124,24.2059,26.7407,23.092,27.7781,22.9447,26.8467,26.3441,25.8112,26.1026,24.5765,28.34,27.2912,23.7219,25.8381,28.0028,39.2739,25.7814,24.7409,26.3716,25.9536,25.8278,25.7471,24.9118,28.6072,25.6544,26.7424425,1.81531034324681
"Equal.training.sensitivity.and.specificity.Cloglog.threshold",0.4041,0.351,0.3765,0.4385,0.3724,0.372,0.3893,0.4056,0.3944,0.4426,0.3858,0.3979,0.3729,0.3992,0.4393,0.3381,0.3842,0.3639,0.4343,0.3603,0.3869,0.3859,0.3665,0.3416,0.3714,0.4447,0.4052,0.3443,0.3628,0.4414,0.5526,0.3936,0.3211,0.3789,0.3296,0.3626,0.3776,0.3675,0.399,0.3832,0.3884675,0.0316200394773904
"Equal.training.sensitivity.and.specificity.area",0.198,0.201,0.213,0.229,0.212,0.213,0.212,0.222,0.218,0.232,0.222,0.21,0.218,0.207,0.214,0.202,0.212,0.22,0.218,0.223,0.207,0.218,0.21,0.201,0.219,0.234,0.212,0.207,0.212,0.206,0.235,0.223,0.204,0.215,0.194,0.208,0.212,0.207,0.207,0.212,0.213475,0.0088782311586119
